"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"RUN/WALK","Run","4X (5 min brisk walk/5 min EASY jogging)","0.666666666666667","","2020-05-02","","4470.7900390625","","","","","0.671105265617371","1.85099995136261","","66","","135","158","","","0.691903129659314","35.24","16","5","2","17","0","0","0","","","","","","","","","","","","","","",""
"LONG RIDE","Bike","No need to go hard today. Time in the saddle is what we're going for.","2","","2020-05-03","","43925.3984375","","",""," *05/01/2020 Quincy Wofford: I'd like to do the same ride I did last Sunday. It's probably somewhere in the ""moderately difficult"" category for me, but it gets easier every time. Would that be alright?*","2.05686545372009","5.93200016021729","","","","136","166","","","0.743643087123325","128.28","37","35","17","23","8","4","0","","","","","","","","","","","","","","",""
"Running","Run","","0.333333333333333","","2020-05-05","","3262.86010742188","","",""," *05/06/2020 Quincy Wofford: What does ""new threshold of 165"" mean?*","0.336412221193314","2.69400000572205","","78","","173","190","","","1.00760585473756","36.82","1","0","0","0","1","3","15","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE","Bike","Ride for an hour on a trainer, or flat to easy rolling terrain at what feels like ""endurance"" effort. Probably a good bit easier than Sunday's ride going by the HR you recorded.","1","","2020-05-06","","15941.599609375","","","","","1.00451946258545","4.40799999237061","","","","134","160","","","0.721628528269571","57.97","14","28","15","3","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","0.333333333333333","","2020-05-07","","2491.64990234375","","",""," *05/07/2020 Quincy Wofford: I was careful not to push it both today and yesterday. I believe I understand that endurance pace is the goal for every exercise, and endurance pace is Z2/Z3. However,  the last two days were very easy, and I'm wondering if that is what you expect. Since leaving Z2/Z3 is counterproductive to the training goal, could we up the duration a bit or even substantially? I don't want to do anything counterproductive to my performance in a sprint triathlon in the fall, but I do want to be clear about how the current workload feels.*","0.351307511329651","1.97000002861023","","70","","147","170","","","0.754297381739844","21.56","0","2","10","7","0","1","0","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE","Bike","Ride for an hour on a trainer, or flat to easy rolling terrain at what feels like ""endurance"" effort. Probably a good bit easier than Sunday's ride going by the HR you recorded.","1","","2020-05-08","","16451.5","","","","","1.09696924686432","4.16599988937378","","","","142","177","","","0.800788639506587","78.1","12","19","10","13","4","7","2","","","","","","","","","","","","","","",""
"RUN/WALK","Run","5X (5 min brisk walk/5 min EASY jogging)","0.833333333333333","","2020-05-09","","5494.89990234375","","","","","0.837022244930267","1.82400000095367","","66","","138","156","","","0.67836851439022","42.49","3","30","15","3","0","0","0","","","","","","","","","","","","","","",""
"Walk","Walk","","","","2020-05-09","","6839.2099609375","","","","","1.66003024578094","1.14400005340576","","50","","108","134","","","0.426902499553821","33.95","99","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"LONG RIDE","Bike","No need to go hard today. Time in the saddle is what we're going for.","2","","2020-05-10","","31192.80078125","","","","","2.18682837486267","3.96199989318848","","","","132","166","","","0.699020447173558","120.72","45","53","18","11","2","1","0","","","","","","","","","","","","","","",""
"","Day Off","Feeling great! Looking forward to next week.","","","2020-05-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-05-12","","2310.6298828125","","","","","0.349105834960938","1.83899998664856","","67","","136","146","","","0.714448511972412","19.23","1","17","3","0","0","0","0","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE","Bike","Ride for prescribed time on a trainer, or flat to easy rolling terrain at what feels like ""endurance"" effort.","1.16666666666667","","2020-05-13","","22004.5703125","","",""," *05/14/2020 Geoffrey Chandler: Boy, you have some hills there don't you. Hey, this isn't important now but later on when you're doing more structured workout (AKA intervals), you'll want to be able to manually indicate splits. Right now your watch is set to auto split every five miles. There's a setting to turn that off.*","1.31188583374023","4.65899991989136","","","","133","167","","","0.724755690529444","76.86","23","32","15","9","0","1","0","","","","","","","","","","","","","","",""
"EASY RUN","Run","","0.416666666666667","","2020-05-14","","2936.22998046875","","","","","0.417439162731171","1.9539999961853","","67","","143","158","","","0.757724540930838","25.96","0","11","9","5","0","0","0","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE","Bike","Ride for prescribed time on a trainer, or flat to easy rolling terrain at what feels like ""endurance"" effort.","1.16666666666667","","2020-05-15","","21046.2109375","","",""," *05/15/2020 Geoffrey Chandler: How would you describe this effort?* *05/15/2020 Quincy Wofford: 50% ?* *05/15/2020 Geoffrey Chandler: In words.* *05/15/2020 Quincy Wofford: Moderately easy.*","1.21773672103882","4.80100011825562","","","","147","172","","","0.748247272837573","75.9","1","19","40","13","0","","","","","","","","","","","","","","","","",""
"6x RUN/WALK 5'/5'","Run","6X (5 min brisk walk/5 min EASY jogging)","1","","2020-05-16","","6528.60009765625","","","","","1.17970395088196","1.53699994087219","","63","","127","159","","","0.608307595104674","48.56","66","4","1","0","0","0","0","","","","","","","","","","","","","","",""
"LONG RIDE","Bike","No need to go hard today. Time in the saddle is what we're going for.","2","","2020-05-17","","34000.48046875","","","","","2.11812281608582","4.45900011062622","","","","129","165","","","0.621650975728882","92.39","19","92","15","1","0","","","","","","","","","","","","","","","","",""
"RECOVERY DAY","Day Off","","","","2020-05-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EASY RUN","Run","","0.466666666666667","","2020-05-19","","3374.64990234375","","","","","0.468127250671387","2.00200009346008","","71","","134","146","","","0.78291829386827","31.2","28","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE","Bike","Ride for prescribed time on a trainer, or flat to easy rolling terrain at what feels like ""endurance"" effort.","1.16666666666667","","2020-05-20","","18014.23046875","","","","","1.29389941692352","3.86700010299683","","","","132","166","","","0.65534331700632","61.97","14","38","23","2","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2020-05-20","","4160.43017578125","","","","","0.261475831270218","4.42000007629395","","","","134","151","","","0.639650284986036","11.46","0","13","2","0","0","","","","","","","","","","","","","","","","",""
"EASY RUN","Run","","0.466666666666667","","2020-05-21","","3185.67993164063","","","","","0.468316644430161","1.88999998569489","","69","","136","150","","","0.736809772708724","27.62","25","3","0","0","0","0","0","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE","Bike","Ride for prescribed time on a trainer, or flat to easy rolling terrain at what feels like ""endurance"" effort.","1.16666666666667","","2020-05-22","","30615.150390625","","","","","1.52239108085632","5.58599996566772","","","","137","161","","","0.656936681904219","73.56","3","60","28","1","0","","","","","","","","","","","","","","","","",""
"6x RUN/WALK 5'/6'","Run","6X (5 min brisk walk/6 min EASY jogging)","1.1","","2020-05-23","","6462.830078125","","","","","1.10218942165375","1.62899994850159","","64","","118","149","","","0.638227944393756","49.86","64","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"LONG RIDE","Bike","No need to go hard today. Time in the saddle is what we're going for.","2","","2020-05-24","","38531.48046875","","","","","2.11970043182373","5.04899978637695","","","","130","160","","","0.619621168069744","91.86","16","98","12","0","0","","","","","","","","","","","","","","","","",""
"RECOVERY WEEK","Other","Let's talk about Saturday's run","","","2020-05-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EASY RUN","Run","","0.333333333333333","","2020-05-26","","2110.59008789063","","","","","0.334426671266556","1.75300002098083","","71","","127","136","","","0.686251250897326","16.96","20","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE","Bike","Ride for an hour on a trainer, or flat to easy rolling terrain at what feels like ""endurance"" effort.","1","","2020-05-27","","18363.390625","","","","","1.34240746498108","3.79999995231628","","","","120","157","","","0.609365789921834","55.63","28","49","4","0","0","","","","","","","","","","","","","","","","",""
"EASY RUN","Run","","0.333333333333333","","2020-05-28","","2200","","","","","0.334082782268524","1.8289999961853","","69","","140","153","","","0.753044139179635","20.42","14","6","0","0","0","0","0","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE","Bike","Ride for an hour on a trainer, or flat to easy rolling terrain at what feels like ""endurance"" effort. Probably a good bit easier than Sunday's ride going by the HR you recorded.","1","","2020-05-29","","16246.2099609375","","","","","1.54989337921143","2.91199994087219","","","","139","174","","","0.683970429089022","81.21","3","50","35","5","0","","","","","","","","","","","","","","","","",""
"RUN RACE/TIME TRIAL/RUN TEST","Run","","","4828.03369140625","2020-05-30","","5328.3798828125","","",""," *05/31/2020 Quincy Wofford: Hmm, I did the run test and it's not showing up on TP. It's on Strava...* *06/01/2020 Geoffrey Chandler: I see the data. How would you rate this run? All-out race type effort? Or Hard but not all-out? or?* *06/01/2020 Geoffrey Chandler: HR = 180 bpm last 21 minutes* *06/01/2020 Quincy Wofford: Oh, definitely very hard*","0.52916556596756","2.79699993133545","","78","","177","184","","","1.09494374633561","69.17","0","0","0","1","4","18","8","","","","","","","","","","","","","","",""
"LONG RIDE","Bike","No need to go hard today. Time in the saddle is what we're going for.","2","","2020-05-31","","16439.01953125","","","","","2.08908939361572","2.18600010871887","","","","139","176","","","0.685077515843714","110.64","3","71","39","12","0","","","","","","","","","","","","","","","","",""
"RECOVERY DAY","Day Off","","","","2020-06-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.5","","2020-06-02","","3656.22998046875","","",""," *06/03/2020 Quincy Wofford: This was a nice step up from last week's endurance run. Not too hard, but a little harder than last week.*","0.504261374473572","2.01399993896484","","74","","146","172","","","0.789301041572129","34.22","23","6","2","0","0","0","0","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2020-06-03","","10797.9296875","","","","","1.27994728088379","2.34299993515015","","","","143","174","","","0.715144686820417","72.95","6","27","32","12","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2020-06-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.5","","2020-06-04","","3620.11010742188","","","","","0.504656076431274","1.99300003051758","","73","","140","166","","","0.789050798220279","34.22","26","3","1","0","0","0","0","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2020-06-05","","12248.5703125","","","","","1.33463001251221","2.54900002479553","","","","143","180","","","0.718866445682925","76.98","6","29","34","11","0","","","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","","1","","2020-06-06","","3670.080078125","","",""," *06/06/2020 Quincy Wofford: Woops! Thought today was a 30 min run. 13:11 pace run out 30 min, walk back, 13:11 pace out and back for 30 min. I'll be sure to check these before I go out from now on!*","0.518031120300293","1.96800005435944","","72","","147","186","","","0.775741430049715","33.97","20","6","2","3","1","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-06-06","","2329.96997070313","","","","","0.454556941986084","1.42400002479553","","56","","119","131","","","0.614623241884432","18.66","27","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-06-06","","3647.26000976563","","","","","0.501197516918182","2.02099990844727","","75","","156","173","","","0.813928082898358","36.17","11","11","8","0","0","0","0","","","","","","","","","","","","","","",""
"EXTENSIVE ENDURANCE RIDE - BY HR","Bike","","2","","2020-06-07","Heart rate will drift up as you fatigue so start segments at low end of zone and with equal effort you'll likely find HR near top of zone at the end.","13636.0595703125","","","","","2.00541830062866","1.88900005817413","","","","146","178","","","0.724281430354026","119.28","5","44","50","22","0","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.533333333333333","","2020-06-09","","4073.15991210938","","","","","0.542600274085999","2.08500003814697","","74","","142","163","","","0.834155154178653","41.2","26","6","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walk","Walk","","","","2020-06-09","","6222.009765625","","",""," *06/15/2020 Geoffrey Chandler: Long walk?* *06/15/2020 Quincy Wofford: Yes. I did my regularly scheduled training earlier in the day, and went for a walk with Alicia in the evening*","1.49451112747192","1.15600001811981","","50","","91","131","","","0.0435411784196185","0.32","6","34","23","13","2","3","8","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2020-06-10","","32846.140625","","","","","1.45283079147339","6.28000020980835","","","","136","164","","","0.666975726830957","72.26","12","37","38","0","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2020-06-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2020-06-10","","825","","",""," *06/10/2020 Quincy Wofford: Some thoughts about my swimming: 1.) I struggle to swim more than 100m before I need to take a breather. I do try to swim at an endurance pace, with very little leg activity. 2.) I have practiced breathing from left and right sides, and i don't seem to struggle with that. I tend to take a breath every 3rd stroke until I get tired, then I just breath on the right side after every right stroke. 3.) 800 meters non-stop in open water seems like a difficult prospect to me at this stage. I wonder if I could do it at any pace.* *06/15/2020 Geoffrey Chandler: Bilateral breathing sure evens out  your stroke but it's common to feel like you're running out of air. I was never able to do it more than 200 or 300 yards. Something else to try is breathing 2 times one side then two times the other side. A way to do bilateral breathing but getting more oxygen.*","0.356170278125339","0.63953488372093","","19","","","","","","0.534775063449582","5.45","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.533333333333333","","2020-06-11","","3955.31005859375","","","","","0.535089433193207","2.05299997329712","","75","","147","167","","","0.802226284998781","37.55","22","7","3","0","0","0","0","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2020-06-11","","850","","",""," *06/11/2020 Quincy Wofford: Update: I was able to swim 350m without stopping today, and that's without a wetsuit and in a pair of baggy swim trunks. Maybe I spoke too soon yesterday. Going forward, please feel free to schedule swims on days with other exercises scheduled. I enjoyed getting up early to swim, then doing a ""main exercise"" later in the day. If that's reasonable from a training perspective, I'd like to continue stacking swimming with something else. Otherwise I'm open to whatever you think makes sense.*","0.415541390313043","0.566666666666667","","20","","","","","","0.472258204911233","4.38","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2020-06-12","","20854.890625","","","","","1.19896364212036","4.83199977874756","","","","130","156","","","0.613593138025107","50.23","10","57","5","0","0","","","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","","1","","2020-06-13","","7018.919921875","","","","","1.06091165542603","1.83800005912781","","67","","139","177","","","0.727268590421444","62.25","44","9","7","3","0","0","0","","","","","","","","","","","","","","",""
"EXTENSIVE ENDURANCE RIDE - BY HR","Bike","","2.16666666666667","","2020-06-14","Heart rate will drift up as you fatigue so start segments at low end of zone and with equal effort you'll likely find HR near top of zone at the end.","45434.2890625","","",""," *06/14/2020 Geoffrey Chandler: Nice ride!* *06/14/2020 Quincy Wofford: Thanks! Felt good! Same route as Apr 26th but much, much easier. Definitely seeing inlrovement*","2.42190480232239","5.21099996566772","","","","143","176","","","0.702889112641654","135.5","5","54","76","10","0","","","","","","","","","","","","","","","","",""
"RECOVERY DAY","Day Off","","","","2020-06-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.566666666666667","","2020-06-16","","3994.89990234375","","","","","0.567872226238251","1.9539999961853","","73","","150","177","","","0.768281043685093","36.64","19","9","5","2","0","0","0","","","","","","","","","","","","","","",""
"SHORT INTERVALS 6X100,10X50","Swim","Don't do these all-out. Be in total control and let good form dictate speed. -------------------- 600 = 6 X 100 w/30 sec rest 100 = 2 X 50 kick 500 = 10 X 50 w/20 sec rest","","1097.28002929688","2020-06-16","","1050","","","","","0.446380001174079","0.649350649350649","","20","","","","","","0.543074542308618","7.15","","","","","","","","","","","","","","","","","","","","","",""
"Walk","Walk","","","","2020-06-16","","2102.56005859375","","","","","0.417208909988403","1.39999997615814","","56","","116","151","","","0.0547691899326656","0.14","0","0","0","0","0","1","24","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2020-06-17","","14758.9296875","","","","","1.39789545536041","2.93300008773804","","","","139","171","","","0.702035689520383","76.96","13","29","30","12","0","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.566666666666667","","2020-06-18","","3927.34008789063","","","","","0.567538917064667","1.92200005054474","","71","","138","167","","","0.749845004358751","34.85","24","7","2","0","0","0","0","","","","","","","","","","","","","","",""
"Pyramid","Swim","WU: 6 x 50 increasing pace slightly each 25. MS: 50 (10”), 100 (20”), 200 (30”), 100 (20”), 50. CD: 100 Back and/or Brest Stroke Total—1300","0.3","822.960021972656","2020-06-18","","1150","","",""," *06/18/2020 Quincy Wofford: Messed up the order but all the parts are there. Pyramid->warmup->cooldown. I forgot to turn off my watch until I was leaving the parking lot, so maybe that's why I was slow or maybe I just need to pick up the pace. Not sure.*","0.449548055860731","0.707692307692308","","19","","","","","","0.590604281924589","9.26","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2020-06-19","","32067.380859375","","","","","1.57348942756653","5.66099977493286","","","","133","159","","","0.628834967178544","69.72","4","72","18","0","0","","","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","","1.03333333333333","","2020-06-20","","8760.3701171875","","","","","1.38253080844879","1.75999999046326","","68","","","","","","0.709250596954907","77.67","","","","","","","","","","","","","","","","","","","","","",""
"EXTENSIVE ENDURANCE RIDE - BY HR","Bike","","2.5","","2020-06-21","Heart rate will drift up as you fatigue so start segments at low end of zone and with equal effort you'll likely find HR near top of zone at the end.","46045.9296875","","","","","2.52055859565735","5.07399988174438","","","","142","165","","","0.69275372584447","137.16","5","55","90","1","0","","","","","","","","","","","","","","","","",""
"RECOVERY WEEK","Other","Let's talk about Saturday's run","","","2020-06-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.333333333333333","","2020-06-23","","2772.1298828125","","","","","0.440952479839325","1.74600005149841","","64","","123","161","","","0.678634587268053","22.05","23","4","0","0","0","0","0","","","","","","","","","","","","","","",""
"400 TO 100 LADDER","Swim","400 = 400 SWIM - Alternate breast and free by 25's. 300 = 2X (100, 50) w/30 sec rest 200 = 4X 50 w/30 sec rest 100 = 100 swim 1000 TOTAL","0.366666666666667","914.400024414063","2020-06-23","","1025","","","","","0.447457223468357","0.633498145859085","","20","","","","","","0.528867910605641","6.62","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","0.833333333333333","","2020-06-24","","11645.2802734375","","","","","0.785283625125885","4.11899995803833","","","","139","162","","","0.685035988202639","40.59","4","18","24","1","0","","","","","","","","","","","","","","","","",""
"EASY RUN","Run","","0.333333333333333","","2020-06-25","","2586.65991210938","","","","","0.351384162902832","2.04500007629395","","68","","128","167","","","0.763168987063768","22.09","15","3","3","0","0","0","0","","","","","","","","","","","","","","",""
"AEROBIC 100's","Swim","WU: 450 = 100 swim easy 50 kick easy 100 swim moderate 50 kick moderate 100 swim build speed 50 kick build speed. ----------------- MS: 400 = 4 x 100 (10” rest) ------------------ CD 200 easy swim. Mixed stroke if you like ------------------ Total: 1050","0.366666666666667","1050","2020-06-25","","125","","",""," *06/26/2020 Quincy Wofford: I did the plan as written, but I need to read up on the open water swim mode because the watch didn't register my swim correctly. Not much signal where I was, maybe that's the problem* *06/26/2020 Quincy Wofford: Oh, this was my failed attempt at lap swimming this am. Forgot my goggles. Did open water swim instead*","0.0402080557081434","0.856164383561644","","17","","","","","","1.32216683205903","9.29","","","","","","","","","","","","","","","","","","","","","",""
"Open Water Swimming","Swim","","","","2020-06-25","","377.130004882813","","","","","0.385998070240021","0.270999997854233","","12","","115","143","","","0.225569734335043","0.44","3","2","1","1","1","1","15","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","0.75","","2020-06-26","","10773.5400390625","","","","","0.885779678821564","3.37899994850159","","","","141","174","","","0.698587359240924","47.73","3","23","21","6","0","","","","","","","","","","","","","","","","",""
"RUN RACE/TIME TRIAL/RUN TEST","Run","","","4828.03369140625","2020-06-27","","4835","","","","","0.476898610591888","2.81599998474121","","77","","177","190","","","1.10267322433442","63.03","0","1","3","15","9","1","0","","","","","","","","","","","","","","",""
"EXTENSIVE ENDURANCE RIDE - BY HR","Bike","","1.5","","2020-06-28","Heart rate will drift up as you fatigue so start segments at low end of zone and with equal effort you'll likely find HR near top of zone at the end.","28804","","","","","1.52625775337219","5.24200010299683","","","","141","171","","","0.683133375816455","79.75","6","31","53","2","0","","","","","","","","","","","","","","","","",""
"RECOVERY DAY","Day Off","","","","2020-06-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.583333333333333","","2020-06-30","","3892.78002929688","","","","","0.589763879776001","1.83299994468689","","69","","138","164","","","0.735810511444571","34.92","23","10","2","0","0","0","0","","","","","","","","","","","","","","",""
"Fast 50s","Swim","WU: 400 easy swim. MS: 4 x 50 w/30” rest 50 kick easy. 4 x 50 w/30” rest 50 kick easy. CD: 100 easy swim. Total—1000","","800","2020-06-30","","800","","",""," *06/30/2020 Quincy Wofford: I was late to my lane reservation and only got the 400m warmup + 8x50 30"" + 50 kick in before time was called. sTSS seems low despite that?*","0.338067222701179","0.655200655200655","","20","","","","","","1.00641300321986","34.46","","","","","","","","","","","","","","","","","","","","","",""
"Hike","Walk","","","","2020-06-30","","8699.0302734375","","","","","1.73577308654785","1.39199995994568","","57","","126","168","","","0.0541083423324166","0.57","0","0","0","1","4","7","92","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2020-07-01","","23163.98046875","","","","","1.28314006328583","5.0149998664856","","","","133","164","","","0.643864949353238","59.3","10","43","23","0","0","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.583333333333333","","2020-07-02","","7430.830078125","","","","","2.05200052261353","1.00600004196167","","44","","110","147","","","0.409147569154264","38.74","123","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"GDC01","Swim","300 = 300 swim warm up 400 = 4 x 100 w/30"" 100 = kick 300 = 6 x 50 w/30""","0.366666666666667","1005.84002685547","2020-07-02","","700","","",""," *07/02/2020 Quincy Wofford: 300 warmup not recorded, forgot to hit start. Kick is similarly messed up. I do have a kick board now. Think I'm using it right...*","0.253548612594604","0.762527233115468","","22","","","","","","1.17415685982781","41.04","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-07-02","","4511","","","","","0.627597510814667","1.99699997901917","","70","","140","167","","","0.780530169881664","41.88","22","13","3","0","0","0","0","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2020-07-03","","24246.720703125","","",""," *07/03/2020 Quincy Wofford: I did an all out effort on the cycling segment of the atomic man duathlon today. Beat my previous best effort by 4:10, so that's a good improvement I think! Relaxed ride back for the remainder.*","1.2846485376358","5.24300003051758","","","","147","186","","","0.760857109275195","82.91","7","24","23","23","1","","","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","","1.1","","2020-07-04","","6790.77001953125","","","","","1.03476583957672","1.82299995422363","","67","","133","165","","","0.69943113572086","56.12","52","6","4","0","0","0","0","","","","","","","","","","","","","","",""
